experiment,setting,model,train_years,train_rows,test_rows,cv_folds,cv_acc_mean,cv_prec_mean,cv_rec_mean,cv_f1_mean,cv_auc_mean,cv_logloss_mean,test_acc,test_prec,test_rec,test_f1,test_auc,test_logloss,tn,fp,fn,tp,bets,profit,roi
baseline,default,lr,<= 2024,9616,2491,5,0.5715355805243446,0.5846046492317061,0.6350207758419076,0.6075427558806373,0.5954119445253131,0.6828363819002949,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,598,541,569,783,1739,-13.590899999999998,-0.007815353651523863
baseline,default,rf,<= 2024,9616,2491,5,0.5664169787765293,0.5771694656150739,0.6413567996664393,0.6071638793999552,0.5921488225866215,0.6832033860897196,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,576,563,539,813,1941,-17.822800000000004,-0.009182277176713037
baseline,default,xgb,<= 2024,9616,2491,5,0.5544319600499377,0.5709508960191124,0.6014637112904514,0.5844048008334605,0.5730266352863401,0.7102394375492619,0.5451625853071056,0.5777146912704045,0.6020710059171598,0.5896414342629481,0.5604362671501525,0.6985795051998991,544,595,538,814,2000,-43.004700000000014,-0.021502350000000007
training_size,train<= 2021,lr,<= 2021,2388,2491,5,0.5623115577889447,0.5766789389724203,0.7254562870978185,0.639519729714054,0.5776855478386453,0.6954061967903968,0.5399437976716178,0.5655216284987278,0.6575443786982249,0.6080711354309167,0.5623477201531502,0.6889637026910271,456,683,463,889,2009,27.39179999999999,0.013634544549527122
training_size,train<= 2021,rf,<= 2021,2388,2491,5,0.5613065326633165,0.5854001466978339,0.6537103497364594,0.6155703732544451,0.5845972062519731,0.6854091689939912,0.5443596949016459,0.5731625084288604,0.628698224852071,0.5996472663139331,0.568796722963671,0.6863946399796192,506,633,502,850,2023,-5.522699999999988,-0.002729955511616405
training_size,train<= 2021,xgb,<= 2021,2388,2491,5,0.5492462311557789,0.576687376418392,0.6157494251227638,0.5926241572187122,0.5610628005989098,0.7567055276213124,0.5307105580088318,0.5646643109540636,0.5909763313609467,0.5775207806288399,0.5339736663012816,0.7321426018692562,523,616,553,799,2206,-130.2737,-0.05905426110607434
training_size,train<= 2022,lr,<= 2022,4788,2491,5,0.5812030075187969,0.5924739219456426,0.7108034291317816,0.6422857413816605,0.595855954958546,0.6872818907006936,0.5523885989562425,0.5895691609977324,0.5769230769230769,0.5831775700934579,0.5746190730995215,0.6840030180926341,596,543,572,780,1895,-52.1321,-0.027510343007915567
training_size,train<= 2022,rf,<= 2022,4788,2491,5,0.568922305764411,0.5863508890494243,0.6615859552505917,0.6206819801629266,0.5955743232822234,0.6816892316396247,0.5616218386190285,0.5878378378378378,0.643491124260355,0.614406779661017,0.5719819368178253,0.6892712723859677,529,610,482,870,1983,-100.536,-0.05069894099848714
training_size,train<= 2022,xgb,<= 2022,4788,2491,5,0.5496240601503759,0.5748358692468146,0.6083162231465187,0.5896469161940234,0.5659168131538821,0.7285372817800316,0.5507828181453231,0.5790902919212492,0.6309171597633136,0.6038938053097346,0.5539233003101445,0.7062984481486716,519,620,499,853,2126,-108.58330000000001,-0.051073988711194736
training_size,train<= 2023,lr,<= 2023,7216,2491,5,0.5668885191347753,0.5746494304087323,0.7132757311094731,0.6297011250464701,0.5890226089131015,0.6990936111297775,0.5527900441589723,0.5956591639871383,0.5480769230769231,0.5708782742681048,0.5799478936677559,0.6822848228844646,636,503,611,741,1885,-81.02450000000002,-0.042983819628647224
training_size,train<= 2023,rf,<= 2023,7216,2491,5,0.5640599001663893,0.5732313482540878,0.6668437326771313,0.6151344695306259,0.590634072602173,0.6854680527005736,0.5543958249698916,0.5839112343966713,0.6227810650887574,0.602720114531138,0.5729663984290174,0.6874712255430943,539,600,510,842,1932,-29.293600000000005,-0.015162318840579713
training_size,train<= 2023,xgb,<= 2023,7216,2491,5,0.5562396006655573,0.5712419499010462,0.6407353137526762,0.5990018545758902,0.5716717766287104,0.7302759473935928,0.5467683661180249,0.5777003484320558,0.6131656804733728,0.5949049156799427,0.5654413712848912,0.6951788751379586,533,606,523,829,2029,-62.7535,-0.030928289797930015
training_size,train<= 2024,lr,<= 2024,9616,2491,5,0.5715355805243446,0.5846046492317061,0.6350207758419076,0.6075427558806373,0.5954119445253131,0.6828363819002949,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,598,541,569,783,1739,-13.590899999999998,-0.007815353651523863
training_size,train<= 2024,rf,<= 2024,9616,2491,5,0.5664169787765293,0.5771694656150739,0.6413567996664393,0.6071638793999552,0.5921488225866215,0.6832033860897196,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,576,563,539,813,1941,-17.822800000000004,-0.009182277176713037
training_size,train<= 2024,xgb,<= 2024,9616,2491,5,0.5544319600499377,0.5709508960191124,0.6014637112904514,0.5844048008334605,0.5730266352863401,0.7102394375492619,0.5451625853071056,0.5777146912704045,0.6020710059171598,0.5896414342629481,0.5604362671501525,0.6985795051998991,544,595,538,814,2000,-43.004700000000014,-0.021502350000000007
balance,none,lr,<= 2024,9616,2491,5,0.5715355805243446,0.5846046492317061,0.6350207758419076,0.6075427558806373,0.5954119445253131,0.6828363819002949,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,598,541,569,783,1739,-13.590899999999998,-0.007815353651523863
balance,class_weight,lr,<= 2024,9616,2491,5,0.5734082397003746,0.6042569440158191,0.536280960104888,0.5676331447316951,0.5954007801877157,0.6848163401644105,0.548775592131674,0.6089866156787763,0.47115384615384615,0.5312760633861551,0.5827830911575087,0.683937981032098,730,409,715,637,1969,-44.65220000000001,-0.022677602844083294
balance,smote,lr,<= 2024,9616,2491,5,0.5694132334581774,0.5996502602675399,0.5336936972905661,0.5642057032772959,0.5943917647871587,0.6859303756693418,0.5471698113207547,0.6078998073217726,0.46671597633136097,0.5280334728033472,0.5820018858024532,0.6844380245943336,732,407,721,631,1971,-41.26730000000002,-0.020937239979705743
balance,none,rf,<= 2024,9616,2491,5,0.5664169787765293,0.5771694656150739,0.6413567996664393,0.6071638793999552,0.5921488225866215,0.6832033860897196,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,576,563,539,813,1941,-17.822800000000004,-0.009182277176713037
balance,class_weight,rf,<= 2024,9616,2491,5,0.5645443196004993,0.5863352044306267,0.5685078528721517,0.5771578407715853,0.5928052870808406,0.6835355455826156,0.5584102769971899,0.6060606060606061,0.5325443786982249,0.5669291338582678,0.5749931165612937,0.6900354387540508,671,468,632,720,1986,-48.63910000000001,-0.024490986908358516
balance,smote,rf,<= 2024,9616,2491,5,0.568039950062422,0.585844383241097,0.5948390689854945,0.5901476581505338,0.5908518081932401,0.684346597952444,0.5616218386190285,0.6072607260726073,0.5443786982248521,0.5741029641185649,0.5773776436300918,0.6892033393839541,663,476,616,736,1991,-28.279900000000005,-0.01420386740331492
augmentation,no_aug,lr,<= 2024,9616,2491,5,0.5715355805243446,0.5846046492317061,0.6350207758419076,0.6075427558806373,0.5954119445253131,0.6828363819002949,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,598,541,569,783,1739,-13.590899999999998,-0.007815353651523863
augmentation,noise_aug,lr,<= 2024,9616,2491,5,0.5712858926342073,0.5847460499532162,0.6326203623327302,0.6065471440917035,0.5944514529973939,0.6835534220886859,0.5547972701726215,0.5918367346938775,0.5791420118343196,0.5854205607476636,0.5825012597991595,0.6795576947474193,599,540,569,783,1739,-11.291899999999998,-0.006493329499712477
augmentation,no_aug,rf,<= 2024,9616,2491,5,0.5664169787765293,0.5771694656150739,0.6413567996664393,0.6071638793999552,0.5921488225866215,0.6832033860897196,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,576,563,539,813,1941,-17.822800000000004,-0.009182277176713037
augmentation,noise_aug,rf,<= 2024,9616,2491,5,0.5565543071161049,0.5694783566108856,0.6243344496832401,0.5952800494600125,0.5841431648887715,0.689706058881367,0.5572059413890004,0.5931189229618549,0.5865384615384616,0.5898103384157679,0.567512896706859,0.6940754825586043,595,544,559,793,2054,-53.21880000000001,-0.025909834469328145
pca,no_pca,lr,<= 2024,9616,2491,5,0.5715355805243446,0.5846046492317061,0.6350207758419076,0.6075427558806373,0.5954119445253131,0.6828363819002949,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,598,541,569,783,1739,-13.590899999999998,-0.007815353651523863
pca,pca_95var,lr,<= 2024,9616,2491,5,0.5767790262172283,0.5885838370475565,0.641957820443143,0.6124146908237839,0.6035675438830534,0.6782961190206217,0.5519871537535126,0.5899390243902439,0.5724852071005917,0.5810810810810811,0.5809544342332889,0.6799152794947538,601,538,578,774,1525,-62.3652,-0.0408952131147541
pca,no_pca,rf,<= 2024,9616,2491,5,0.5664169787765293,0.5771694656150739,0.6413567996664393,0.6071638793999552,0.5921488225866215,0.6832033860897196,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,576,563,539,813,1941,-17.822800000000004,-0.009182277176713037
pca,pca_95var,rf,<= 2024,9616,2491,5,0.5460674157303371,0.5577317445604996,0.6388572207850031,0.5949929381226857,0.5565642487013689,0.701493172950854,0.5343235648334003,0.5719640179910045,0.5643491124260355,0.5681310498883098,0.551099142297562,0.7029296780839183,568,571,589,763,2126,-70.93839999999999,-0.03336707431796801
